MILK LOWFAT 2%,1,CUP,125,12,5,9,18,2.9 ,245,,,,,,,,,,,
MILK SKIM,1,CUP,85,12,0,8,4,0.3 ,245,,,,,,,,,,,
MILK WHOLE,1,CUP,146,12.8,7.9,7.9,24.4,4.6,244,34.9,5,0,7,26,1,9,4,3,18,1,1,28,0,4,10,7 
EVAPORATED MILK SKIM CANNED,1,CUP,200,29,1,19,9,0.3 ,255,,,,,,,,,,,
EVAPORATED MILK WHOLE CANNED,1,CUP,340,25,19,17,74,11.6 ,252,,,,,,,,,,,
MUSCLE MILK BANANA,14,OZ,160,8,4,25,15,1,150,,,,,,,,,,,
NONFAT DRY MILK INSTANTIZED,1,CUP,245,35,0,24,12,0.3 ,68,,,,,,,,,,,
SWEETENED CONDENSED MILK CNND,1,CUP,980,166,27,24,104,16.8 ,306,,,,,,,,,,,
CREAM HALF AND HALF,1,CUP,315,10,28,7,89,17.3 ,242,,,,,,,,,,,
CREAM HALF AND HALF,1,TBSP,20,1,2,0,6,1.1 ,15,,,,,,,,,,,
CREAM HEAVY,1,CUP,820,7,88,5,326,54.8 ,238,,,,,,,,,,,
CREAM LIGHT TABLE,1,TBSP,30,1,3,0,10,1.8 ,15,,,,,,,,,,,

