<CHEESE>  AMERICAN,1,OZ,105,0,9,6,27,5.6 ,28.35,,,,,,,,,,,
<CHEESE>  BLUE,1,OZ,100,1,8,6,21,5.3 ,28.35,,,,,,,,,,,
<CHEESE>  CAMEMBERT,1,PIECE,115,0,9,8,27,5.8 ,38,,,,,,,,,,,
<CHEESE>  CHEDDAR CHEESE,1,OZ,115,0,9,7,30,6 ,28.35,,,,,,,,,,,
<CHEESE>  CHEDDAR SAUCE W/ MILK,1,CUP,305,23,17,16,53,9.3 ,279,,,,,,,,,,,
<CHEESE>  CHEDDAR SHREDDED,1,CUP,455,1,37,28,119,23.8 ,113,,,,,,,,,,,
<CHEESE>  COTTAGE CREAM,1,CUP,235,6,10,28,34,6.4 ,225,,,,,,,,,,,
<CHEESE>  CREAM,1,OZ,100,1,10,2,31,6.2 ,28.35,,,,,,,,,,,
<CHEESE>  FETA,1,OZ,75,1,6,4,25,4.2 ,28.35,,,,,,,,,,,
<CHEESE>  FOOD AMR,1,OZ,95,2,7,6,18,4.4 ,28.35,,,,,,,,,,,
<CHEESE>  MOZZARELLA,1,OZ,80,1,6,6,22,3.7 ,28.35,,,,,,,,,,,
<CHEESE>  MUENSTER,1,OZ,105,0,9,7,27,5.4 ,28.35,,,,,,,,,,,
<CHEESE>  PARMESAN GRATED,1,OZ,130,1,9,12,22,5.4 ,28.35,,,,,,,,,,,
<CHEESE>  PROVOLONE,1,OZ,100,1,8,7,20,4.8 ,28.35,,,,,,,,,,,
<CHEESE>  SPREAD AMERICAN,1,OZ,80,2,6,5,16,3.8 ,28.35,,,,,,,,,,,
<CHEESE>  STRING MOZZARELLA,1,ITM,80,0,6,7,20,3.5 ,28.0,,,,,,,,,,,
<CHEESE>  SWISS,1,OZ,95,1,7,7,24,4.5 ,28.35,,,,,,,,,,,
<CHEESE>  COTTAGE CHEESE LOWFAT 2%,1,CUP,205,8,4,31,19,2.8 ,226,,,,,,,,,,,
<CHEESE>  COTTAGE CHEESE UNCREAMED,1,CUP,125,3,1,25,10,0.4 ,145,,,,,,,,,,,
