<LEGUMES>  BEANS BLACK DRY COOKED,1,CUP,225,41,1,15,0,0.1 ,171,,,,,,,,,,,
<LEGUMES>  BEANS DRY CANNED W/FRANKFURTER,1,CUP,365,32,18,19,30,7.4 ,255,,,,,,,,,,,
<LEGUMES>  BEANS DRY CANNED W/PORK+SWTSCE,1,CUP,385,54,12,16,10,4.3 ,255,,,,,,,,,,,
<LEGUMES>  BEANS DRY CANNED W/PORK+TOMSCE,1,CUP,310,48,7,16,10,2.4 ,255,,,,,,,,,,,
<LEGUMES>  BEANS GREEN,1,CUP,44,10,0.4,2.4,0,0.0 ,171,,,,,,,,,,,
<LEGUMES>  CHICKPEAS COOKED,1,CUP,270,45,4,15,0,0.4 ,163,,,,,,,,,,,
<LEGUMES>  LENTILS DRY COOKED,1,CUP,215,38,1,16,0,0.1 ,200,,,,,,,,,,,
<LEGUMES>  LIMA BEANS BABY FRZN CKED DRN,1,CUP,190,35,1,12,0,0.1 ,180,,,,,,,,,,,
<LEGUMES>  LIMA BEANS DRY COOKED,1,CUP,260,49,1,16,0,0.2 ,190,,,,,,,,,,,
<LEGUMES>  LIMA BEANS THICK SEED FRZN CKD,1,CUP,170,32,1,10,0,0.1 ,170,,,,,,,,,,,
<LEGUMES>  PEAS DRY COOKED,1,CUP,225,40,1,15,0,0.1 ,190,,,,,,,,,,,
<LEGUMES>  PEAS EDIBLE POD COOKED DRNED,1,CUP,65,11,0,5,0,0.1 ,160,,,,,,,,,,,
<LEGUMES>  PEAS GREEN CNND DRND W/ SALT,1,CUP,115,21,1,8,0,0.1 ,170,,,,,,,,,,,
<LEGUMES>  PEAS GREEN CNND DRND W/O SALT,1,CUP,115,21,1,8,0,0.1 ,170,,,,,,,,,,,
<LEGUMES>  PEAS GRN FROZEN COOKED DRANED,1,CUP,125,23,0,8,0,0.1 ,160,,,,,,,,,,,
<LEGUMES>  PEAS SPLIT DRY COOKED,1,CUP,230,42,1,16,0,0.1 ,200,,,,,,,,,,,
<LEGUMES>  RED KIDNEY BEANS DRY CANNED,1,CUP,230,42,1,15,0,0.1 ,255,,,,,,,,,,,
<LEGUMES>  SNAP BEAN CNND DRND GRN NOSALT,1,CUP,25,6,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES>  SNAP BEAN CNND DRND YLLW NOSAL,1,CUP,25,6,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES>  SNAP BEAN CNND DRND YLLW SALT,1,CUP,25,6,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES>  SNAP BEAN FRZ CKD DRND GREEN,1,CUP,35,8,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES>  SNAP BEAN FRZ CKD DRND YELLOW,1,CUP,35,8,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES>  SNAP BEAN RAW CKD DRND GREEN,1,CUP,45,10,0,2,0,0.1 ,125,,,,,,,,,,,
<LEGUMES>  SNAP BEAN RAW CKD DRND YELLOW,1,CUP,45,10,0,2,0,0.1 ,125,,,,,,,,,,,
<LEGUMES>  SOYBEAN OIL HYDROGENATED,1,CUP,1925,0,218,0,0,32.5 ,218,,,,,,,,,,,
<LEGUMES>  SOYBEAN OIL HYDROGENATED,1,TBSP,125,0,14,0,0,2.1 ,14,,,,,,,,,,,
<LEGUMES>  SOYBEAN-COTTONSEED OIL HYDRGN,1,CUP,1925,0,218,0,0,39.2 ,218,,,,,,,,,,,
<LEGUMES>  SOYBEAN-COTTONSEED OIL HYDRGN,1,TBSP,125,0,14,0,0,2.5 ,14,,,,,,,,,,,
<LEGUMES>  SOYBEANS DRY COOKED,1,CUP,235,19,10,20,0,1.3 ,180,,,,,,,,,,,
<LEGUMES> SNAP BEAN CNND DRND GREEN SALT,1,CUP,25,6,0,2,0,0 ,135,,,,,,,,,,,
<LEGUMES> PINTO BEANS DRY COOKED,1,CUP,265,49,1,15,0,0.1 ,180,,,,,,,,,,,
