#date            RDI(%) Fat     Carbs 	Fiber 	Prot 	Cals
12/01/2025 	  0     0.05    0.56	0	0.28	4
12/02/2025 	  0     0.05    0.56	0	0.28	4
12/03/2025 	  0     0.05    0.56	0	0.28	4
12/04/2025 	  0     0.05    0.56	0	0.28	4
12/05/2025	  39    55.21   14.09	9.0	49.46	748
12/06/2025	  141   150.48	206.48	16.4	111.52	2682
12/07/2025	  98	78.02	157.89	9.1	105.04	1859
12/08/2025	  88	91.63	69.31	9.7	118.02	1680
12/09/2025	  110	107.46	164.88	11.7	99.90	2083
12/10/2025	  106	106.60	153.39	6.3	108.30	2007
12/11/2025	  71	67.65	122.95	9.1	72.29	1352
12/12/2025	   4	4.05	5.70	0	4.50	78
#date            RDI(%) Fat     Carbs 	Fiber 	Prot 	Cals
12/13/2025	   75	65.95	117.18	20.3	38.94	1421
12/14/2025	   9	5.33	3.95	0	24.26	165
12/15/2025	   60	57.10	66.42	12.7	97.66	1141
12/16/2025	   57	64.93	45.0	9.3	84.68	1079
12/17/2025	   83	66.82	81.49	6.3	166.34	1579
12/18/2025	   55	63.42	34.38	8.4	79.00	1040
12/19/2025	   83	91.18	76.87	4.6	86.29	1571
12/20/2025	   99	103.18	142.87	10.2	108.38	1872
12/21/2025	   136	113.89	298.04	17.2	113.73	2590
12/22/2025	   77	77.40	78.19	12.3	130.45	1454
12/23/2025	   176	194.21	240.24	20.4	163.83	3336
12/24/2025	   79	67.19	145.46	14.7	81.76	1493
12/25/2025	   172	141.45	324.52	20.7	131.01	3260
12/26/2025	   82	90.69	54.92	15.0	86.56	1566
12/27/2025	   82	107.71	41.83	3.8	82.02	1551
12/28/2025	   35	46.27	17.19	3.8	45.88	670 
#date            RDI(%) Fat     Carbs 	Fiber 	Prot 	Cals

